tenure_months,monthly_charge,total_charges,support_tickets,late_payments,avg_monthly_usage_gb,contract_type,payment_method,internet_service,has_streaming,has_security_pack,num_products,region,customer_age,is_promo,churn
7,58.23,326.5,2,1,81.83,mensual,transferencia,cable,0,1,3,centro,53,1,1
56,56.75,3154.21,0,2,96.52,anual,debito,fibra,0,0,4,centro,53,0,0
48,78.84,3864.31,3,2,93.6,bianual,efectivo,movil,1,1,4,centro,73,1,1
32,79.74,2511.4,0,0,28.95,bianual,debito,movil,0,1,4,norte,25,0,1
32,55.37,1735.51,3,0,126.9,anual,efectivo,fibra,1,0,2,oeste,61,1,0
62,57.74,3649.57,1,0,130.85,anual,efectivo,movil,1,0,2,norte,43,1,0
7,74.74,462.38,1,0,110.71,mensual,debito,fibra,1,0,1,centro,22,0,0
51,50.1,2462.19,2,0,132.37,mensual,credito,cable,1,1,3,centro,68,0,1
15,57.61,823.89,1,1,132.91,anual,transferencia,cable,0,1,2,oeste,18,0,0
7,66.61,685.27,1,1,54.19,bianual,credito,movil,1,1,3,oeste,72,0,1
38,82.93,3257.01,2,0,134.43,bianual,efectivo,fibra,0,1,3,norte,34,0,0
71,54.12,4070.25,3,1,147.93,bianual,debito,fibra,1,1,3,oeste,29,0,0
53,31.84,1531.23,1,2,40.14,mensual,efectivo,ninguno,1,1,1,norte,36,0,1
55,30.5,1724.31,2,1,193.16,anual,credito,ninguno,0,1,3,centro,75,0,0
52,42.33,2156.47,3,0,58.21,anual,debito,movil,1,1,1,norte,67,0,0
57,41.36,2320.01,2,1,63.09,mensual,credito,fibra,0,0,4,sur,46,0,0
37,62.22,2117.26,1,0,130.1,mensual,debito,cable,0,1,1,centro,38,1,0
10,43.6,592.02,7,0,146.73,anual,credito,fibra,1,1,2,oeste,27,0,0
61,52.35,2998.68,3,1,158.88,mensual,debito,fibra,0,0,2,sur,50,0,0
33,51.07,1792.06,1,0,148.05,anual,transferencia,fibra,0,1,4,sur,63,0,0
37,57.07,2064.3,1,2,94.01,bianual,credito,movil,0,0,1,centro,24,1,1
27,88.81,2288.53,1,0,125.43,anual,credito,fibra,1,0,3,centro,23,0,1
14,76.92,962.24,2,0,104.17,mensual,efectivo,fibra,1,0,4,oeste,65,1,0
67,65.29,4380.44,0,0,128.71,mensual,efectivo,fibra,1,1,4,sur,62,1,0
57,56.7,3187.94,1,2,123.42,anual,transferencia,cable,1,0,2,norte,44,0,0
47,57.2,2688.94,3,1,94.75,anual,debito,movil,1,0,2,centro,60,0,0
29,70.9,1817.82,1,0,102.64,mensual,efectivo,fibra,1,0,1,centro,49,1,0
60,75.52,4283.41,1,0,27.39,mensual,debito,movil,1,1,2,oeste,56,0,1
40,48.66,1727.91,3,0,161.51,bianual,credito,fibra,1,1,2,norte,29,1,0
32,65.66,2197.4,1,0,134.88,mensual,efectivo,fibra,0,0,4,norte,68,1,0
33,28.43,1111.98,0,0,5.0,anual,debito,fibra,1,1,4,norte,66,0,0
17,68.81,1138.13,3,0,159.66,bianual,debito,cable,0,1,4,centro,68,0,0
7,78.72,640.33,1,0,117.35,anual,credito,ninguno,1,1,2,sur,28,0,1
40,59.96,2440.0,0,1,73.16,bianual,credito,movil,1,1,3,norte,44,0,1
64,97.7,6393.06,2,1,68.73,anual,credito,fibra,1,1,3,oeste,35,1,0
5,49.14,390.33,0,1,85.59,mensual,transferencia,ninguno,1,0,2,centro,49,1,1
62,68.91,4124.08,1,1,73.42,mensual,efectivo,cable,0,1,1,oeste,44,0,1
60,64.36,3884.71,0,0,80.14,mensual,efectivo,cable,1,0,2,norte,43,1,0
20,63.19,1366.6,2,1,205.03,mensual,debito,movil,1,1,3,sur,73,1,1
46,62.94,2998.52,2,1,138.56,anual,transferencia,movil,0,1,1,centro,55,0,1
12,66.93,895.18,2,0,221.8,mensual,transferencia,cable,0,0,1,norte,76,0,1
55,80.26,4410.37,2,1,131.29,mensual,debito,fibra,1,1,1,oeste,49,0,1
51,89.8,4660.98,5,1,148.96,anual,credito,fibra,1,1,4,oeste,63,1,0
26,64.96,1518.49,3,0,75.96,mensual,debito,movil,1,1,4,centro,36,0,1
5,79.68,233.81,4,1,111.6,mensual,debito,cable,0,0,1,oeste,46,1,1
70,52.37,3846.93,0,0,115.92,anual,debito,movil,1,0,2,oeste,43,1,0
33,78.79,2730.68,2,1,151.0,mensual,transferencia,movil,1,1,4,centro,64,1,1
65,51.28,3523.12,2,0,117.53,mensual,credito,movil,1,1,2,norte,52,1,0
49,84.63,4128.42,1,1,137.57,mensual,debito,fibra,0,0,1,norte,37,0,1
57,104.79,5855.71,4,0,135.78,anual,credito,fibra,0,0,3,sur,66,0,0
55,62.8,3431.57,0,0,104.86,anual,debito,fibra,1,0,3,oeste,66,0,0
15,25.53,615.51,0,0,99.72,anual,debito,fibra,1,0,3,centro,26,1,0
27,55.13,1387.89,3,0,86.55,mensual,efectivo,cable,0,0,2,oeste,42,0,1
34,87.17,2942.97,1,1,174.12,anual,credito,cable,1,0,4,centro,52,1,0
36,74.96,2844.69,2,1,104.88,mensual,transferencia,fibra,1,0,1,centro,72,0,0
4,69.48,287.58,1,0,136.44,anual,debito,cable,0,1,2,sur,75,0,1
40,83.16,3279.86,4,2,112.17,mensual,debito,fibra,1,0,4,centro,33,1,1
12,73.72,975.31,1,0,173.13,mensual,efectivo,cable,1,0,2,norte,42,1,1
54,86.92,4636.44,1,1,20.6,mensual,debito,cable,1,0,1,centro,26,0,0
50,81.55,4134.78,3,0,135.15,mensual,debito,fibra,1,0,3,centro,22,0,1
67,92.39,5900.42,2,1,57.25,mensual,transferencia,cable,1,0,3,sur,38,1,1
54,71.46,3648.67,1,1,139.54,mensual,credito,cable,1,1,3,centro,69,1,0
27,81.29,2166.79,1,1,112.67,bianual,efectivo,fibra,0,1,2,norte,42,0,0
70,59.47,4323.01,1,1,46.08,mensual,efectivo,fibra,1,0,4,centro,30,0,0
30,54.17,1605.44,3,1,136.88,anual,debito,fibra,1,1,3,centro,32,1,0
24,95.72,2291.02,0,0,131.21,mensual,debito,movil,0,1,3,sur,60,1,1
66,68.89,4576.71,2,1,108.44,mensual,credito,ninguno,1,1,3,centro,51,1,0
27,79.49,2096.83,1,0,114.77,bianual,debito,fibra,0,1,4,sur,46,0,0
6,67.23,210.28,3,0,128.08,mensual,credito,fibra,1,1,3,centro,40,1,0
34,54.44,1933.6,2,0,178.91,anual,credito,movil,0,1,4,norte,75,1,1
58,65.2,3813.5,2,1,104.28,anual,efectivo,cable,1,1,2,oeste,26,0,0
14,90.85,1313.03,1,0,170.65,mensual,efectivo,fibra,1,1,1,centro,65,0,1
34,74.99,2415.93,1,0,118.13,anual,debito,cable,1,0,3,oeste,78,0,1
10,34.19,525.08,2,1,184.79,anual,debito,movil,1,0,2,centro,66,0,1
50,61.13,3004.96,2,0,108.24,bianual,efectivo,fibra,1,1,4,norte,50,0,0
35,97.08,3569.45,2,0,86.68,mensual,debito,cable,1,0,1,centro,54,0,0
24,61.15,1214.44,2,2,65.12,mensual,debito,movil,1,1,4,centro,70,0,1
17,32.59,502.86,0,0,118.31,anual,debito,fibra,1,0,4,centro,26,1,0
41,99.07,4244.62,1,1,80.34,mensual,debito,ninguno,1,1,4,centro,67,0,0
49,77.28,3769.64,1,1,190.22,mensual,debito,ninguno,1,1,2,centro,28,1,0
68,63.74,4039.67,1,3,76.44,anual,debito,movil,1,1,4,centro,26,1,0
32,58.31,1750.73,4,2,85.5,mensual,debito,cable,1,0,3,centro,20,0,1
12,84.48,1047.4,2,0,149.05,bianual,transferencia,cable,0,0,1,norte,24,1,0
60,55.24,3486.67,2,2,179.29,bianual,debito,cable,0,0,2,centro,56,0,1
46,85.67,3906.3,1,0,156.55,mensual,transferencia,fibra,1,1,3,centro,23,1,1
51,74.76,3944.21,0,1,172.93,mensual,credito,fibra,1,0,4,centro,60,1,0
8,69.4,602.59,2,0,115.99,mensual,credito,fibra,1,0,2,norte,23,0,0
23,67.62,1505.84,0,1,116.69,mensual,efectivo,fibra,0,0,2,oeste,30,1,1
56,61.85,3558.04,1,1,220.59,mensual,credito,movil,1,1,3,oeste,40,1,0
60,83.82,5144.46,1,0,204.51,bianual,debito,movil,1,0,1,norte,70,1,0
32,49.42,1546.95,0,1,155.71,mensual,credito,fibra,1,0,4,oeste,27,1,1
58,35.81,1990.65,1,4,175.33,mensual,debito,cable,0,0,2,oeste,39,1,1
61,76.06,4445.6,1,1,162.93,mensual,debito,cable,1,0,3,centro,24,1,1
28,76.36,2188.21,4,0,59.7,mensual,efectivo,cable,0,0,2,oeste,31,1,1
65,73.64,4717.44,0,1,118.02,anual,efectivo,cable,1,1,2,centro,50,1,0
21,72.34,1581.82,2,1,194.84,anual,credito,fibra,1,0,2,norte,63,1,0
18,59.23,1101.27,1,1,156.02,mensual,credito,fibra,1,1,4,norte,50,0,0
50,79.17,4000.76,1,2,116.82,mensual,credito,fibra,1,0,2,norte,56,1,0
